Moyenne,EcartType,Classe
2.082287027080186, 7.869728229330819, 0 
1.821783639534418, 6.402616668522584, 0 
1.3842770357591447, 6.3655779504940195, 0 
1.3720307107740362, 6.2735498373756355, 0 
1.3819245279449257, 6.45658900221255, 0 
1.441903324014115, 6.904359900638231, 0 
1.39313368278607, 6.833438368111895, 0 
1.4195598972754586, 6.830532127329263, 0 
1.429594798719988, 6.9085802400857, 0 
1.4426161347635371, 6.796958904862834, 0 
1.4400351520263093, 6.759143509582628, 0 
1.4264090324583218, 6.809960763870804, 0 
1.4516717247875675, 6.793671220178654, 0 
1.4361130256188939, 6.802035250153463, 0 
1.4324346853527792, 6.740837838212825, 0 
1.4173993864342085, 6.6837416609595905, 0 
1.4242912652265043, 6.686045164919134, 0 
1.4096391262405565, 6.697410945066818, 0 
1.4846188330242833, 6.7228546746288735, 0 
1.4225887112146842, 6.39196748295713, 0 
1.3794698055001748, 6.32441371899639, 0 
1.3665334848305137, 6.373407980852698, 0 
1.3922672366701772, 6.426266757742974, 0 
1.3999465667771702, 6.32616729669252, 0 
1.3930510459007868, 6.302716491511778, 0 
1.3719283961422626, 6.375656282408154, 0 
1.3710047940581473, 6.588863607060463, 0 
1.3944682000337143, 6.547558925551367, 0 
1.3904389406012791, 6.582838512815473, 0 
1.4858219727999833, 6.596011506006126, 0 
1.3793515596825363, 6.448101602392053, 0 
1.4024053027046, 6.494211818590053, 0 
1.413366412710079, 6.58568519974222, 0 
1.4758773345289073, 6.41840463338603, 0 
1.3645015069951316, 6.514927587528635, 0 
1.4260892152075888, 6.798936709778334, 0 
1.3969725488390832, 6.9290072383344725, 0 
1.4248446618860884, 6.702641864762487, 0 
1.3788617908481744, 6.685893412050423, 0 
1.4455645113583593, 6.8259916999618, 0 
1.3702173250992444, 6.683663564891486, 0 
1.4348044275206566, 6.760024665411587, 0 
1.4435140729656077, 6.882777149365944, 0 
1.4282767556984084, 6.941253325685676, 0 
1.4262706426743044, 6.816367809134087, 0 
1.559735030920187, 6.781285847420676, 0 
1.4343169754925038, 6.7936826318794346, 0 
1.4236165883184837, 6.784053747864253, 0 
1.3809190716726631, 6.747597824885237, 0 
1.3890839353169535, 6.847943830779597, 0 
1.3882182632905506, 6.862767100501107, 1 
0.8874447806523437, 1.908691039302587, 1 
1.9057519189220453, 3.060067385091644, 1 
1.1713971239615701, 1.723957704488118, 1 
1.38146057560686, 1.7830618984202813, 1 
1.4627711890415251, 3.5061832926770355, 1 
2.2569826450056807, 5.715356521992119, 1 
2.5740126647990174, 6.21946824015819, 1 
2.0733974133428, 6.2630598751477375, 1 
1.1111153082443597, 4.55826925544246, 1 
1.5214385737710585, 7.895872845960396, 1 
1.9243838570459157, 9.129367879641753, 1 
1.51333466645465, 5.995226005248205, 1 
1.0514906981115757, 4.940102262843651, 1 
1.4530709084721374, 5.5712314309466855, 1 
2.6205033301135163, 5.902242729786273, 1 
1.2859045842208618, 3.49186923998556, 1 
1.1947550895553365, 2.4758888411547924, 1 
1.3909659850687286, 2.090098619562469, 1 
1.129603886720163, 1.7323520630108709, 1 
1.316600303977759, 2.4045171092035797, 1 
0.931476703099071, 1.3173483621050965, 1 
0.9759019052331812, 1.2829182983539928, 1 
1.2782889134031117, 1.5744614453077606, 1 
0.8512338374848873, 1.2822986558556868, 1 
1.7501166369504841, 1.8989145529200628, 1 
1.0694237863028906, 2.177659482298686, 1 
1.7086734912358, 3.1306034491617507, 1 
1.2486140572260747, 2.0267716235124507, 1 
1.93942452134642, 3.718117321291848, 1 
0.9139535536749395, 1.6925802168919535, 1 
1.3700187586612735, 4.465359726808225, 1 
1.8605172042128266, 7.874634253202431, 1 
1.9678635139717693, 6.612588950996423, 1 
1.5017305629107827, 5.428357234086629, 1 
2.2230563417686895, 5.101198083804325, 1 
3.056885204134741, 7.990376247147458, 1 
1.8037504117851764, 6.053252546889534, 1 
1.8573147939165433, 3.7373815225633664, 1 
1.7017661599175664, 3.767924604586567, 1 
1.086161201143848, 2.664669243726734, 1 
2.0960607283382666, 6.927431500989216, 1 
2.160011113681084, 5.586135295920921, 1 
2.0088130305698386, 5.654590385734158, 1 
1.9626309829459387, 7.002099618630705, 1 
1.846839257113323, 7.303788783345564, 1 
1.4150169294680621, 3.5669224021067967, 1 
3.0246603575754207, 7.779837669628123, 1 
2.7936700698387025, 8.304846596133276, 1 
1.2241182906175543, 3.4221966986003545, 1 
